Etablissement;cat;Nb chb;Taux VT;Mois;Montant (50%);Taux d'occupation;;
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;NOVEMBRE 2015;33 000,00;55,00%;;
1- ANTSIRANANA:Ambanja:COCO KOMBA;R;4;1000;DECEMBRE 2015;7 700,00;12,83%;;
Moyenne 1- ANTSIRANANA:Ambanja:COCO KOMBA;;;;;;33,92%;;
1- ANTSIRANANA:Ambanja:GITES AMPAPAMENA;R;4;1000;DECEMBRE 2015;4 000,00;6,67%;;
1- ANTSIRANANA:Ambanja:GITES AMPAPAMENA;R;4;1000;NOVEMBRE 2015;1 500,00;2,50%;;
Moyenne 1- ANTSIRANANA:Ambanja:GITES AMPAPAMENA;;;;;;4,58%;;
1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;R;6;1000;AOUT 2015;3 200,00;3,56%;;
1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;R;6;1000;DECEMBRE 2015;3 000,00;3,33%;;
1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;R;6;1000;SEPTEMBRE 2015;3 000,00;3,33%;;
1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;R;6;1000;OCTOBRE 2015;2 800,00;3,11%;;
1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;R;6;1000;NOVEMBRE 2015;2 600,00;2,89%;;
Moyenne 1- ANTSIRANANA:Ambanja:HOTEL HIBISCUS;;;;;;3,24%;;
1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;OCTOBRE 2015;26 000,00;8,25%;;
1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;R;21;1000;NOVEMBRE 2015;16 000,00;5,08%;;
Moyenne 1- ANTSIRANANA:Ambanja:HOTEL LE BAOBAB;;;;;;6,67%;;
1- ANTSIRANANA:Ambanja:HOTEL MAMI;R;8;1000;DECEMBRE 2015;5 000,00;4,17%;;
1- ANTSIRANANA:Ambanja:HOTEL MAMI;R;8;1000;NOVEMBRE 2015;5 000,00;4,17%;;
1- ANTSIRANANA:Ambanja:HOTEL MAMI;R;8;1000;OCTOBRE 2015;5 000,00;4,17%;;
Moyenne 1- ANTSIRANANA:Ambanja:HOTEL MAMI;;;;;;4,17%;;
1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;OCTOBRE 2015;15 950,00;6,65%;;
1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;DECEMBRE 2015;15 500,00;6,46%;;
1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;R;16;1000;NOVEMBRE 2015;15 000,00;6,25%;;
Moyenne 1- ANTSIRANANA:Ambanja:HOTEL MARRAKECH;;;;;;6,45%;;
1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;OCTOBRE 2015;5 500,00;3,67%;;
1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;R;10;1000;NOVEMBRE 2015;5 000,00;3,33%;;
Moyenne 1- ANTSIRANANA:Ambanja:HOTEL PALM NOVA;;;;;;3,50%;;
1- ANTSIRANANA:Ambanja:HOTEL PATRICIA;R;13;1000;NOVEMBRE 2015;14 000,00;7,18%;;
1- ANTSIRANANA:Ambanja:HOTEL PATRICIA;R;13;1000;OCTOBRE 2015;7 500,00;3,85%;;
1- ANTSIRANANA:Ambanja:HOTEL PATRICIA;R;13;1000;DECEMBRE 2015;5 850,00;3,00%;;
Moyenne 1- ANTSIRANANA:Ambanja:HOTEL PATRICIA;;;;;;4,68%;;
1- ANTSIRANANA:Ambanja:LA BALAINE;R;5;1000;OCTOBRE 2015;3 500,00;4,67%;;
1- ANTSIRANANA:Ambanja:LA BALAINE;R;5;1000;NOVEMBRE 2015;3 000,00;4,00%;;
Moyenne 1- ANTSIRANANA:Ambanja:LA BALAINE;;;;;;4,33%;;
1- ANTSIRANANA:Ambanja:LE MERIDIEN;3R;10;1000;NOVEMBRE 2015;26 000,00;17,33%;;
1- ANTSIRANANA:Ambanja:LE MERIDIEN;3R;10;1000;DECEMBRE 2015;20 000,00;13,33%;;
1- ANTSIRANANA:Ambanja:LE MERIDIEN;3R;10;1000;OCTOBRE 2015;20 000,00;13,33%;;
Moyenne 1- ANTSIRANANA:Ambanja:LE MERIDIEN;;;;;;14,67%;;
1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;R;6;1000;JUILLET 2015;59 500,00;66,11%;;
1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;R;6;1000;AOUT 2015;54 500,00;60,56%;;
1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;R;6;1000;OCTOBRE 2015;30 500,00;33,89%;;
1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;R;6;1000;SEPTEMBRE 2015;30 000,00;33,33%;;
1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;R;6;1000;NOVEMBRE 2015;28 500,00;31,67%;;
1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;R;6;1000;DECEMBRE 2015;21 500,00;23,89%;;
Moyenne 1- ANTSIRANANA:Ambanja:LE ZAHIR DE L'ILE;;;;;;41,57%;;
1- ANTSIRANANA:Ambanja:MA KARIM HOTEL;R;10;1000;NOVEMBRE 2015;8 500,00;5,67%;;
1- ANTSIRANANA:Ambanja:MA KARIM HOTEL;R;10;1000;OCTOBRE 2015;7 500,00;5,00%;;
1- ANTSIRANANA:Ambanja:MA KARIM HOTEL;R;10;1000;DECEMBRE 2015;5 500,00;3,67%;;
Moyenne 1- ANTSIRANANA:Ambanja:MA KARIM HOTEL;;;;;;4,78%;;
1- ANTSIRANANA:Ambanja:MER ET NATURE;R;7;1000;OCTOBRE 2015;6 050,00;5,76%;;
1- ANTSIRANANA:Ambanja:MER ET NATURE;R;7;1000;DECEMBRE 2015;3 850,00;3,67%;;
Moyenne 1- ANTSIRANANA:Ambanja:MER ET NATURE;;;;;;4,71%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;AOUT 2015;50 000,00;41,67%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;OCTOBRE 2015;40 000,00;33,33%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;SEPTEMBRE 2015;40 000,00;33,33%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;DECEMBRE 2015;32 000,00;26,67%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;NOVEMBRE 2015;30 000,00;25,00%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;JUILLET 2015;15 000,00;12,50%;;
1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;3R;8;1000;JUIN 2015;5 000,00;4,17%;;
Moyenne 1- ANTSIRANANA:Ambanja:NATURE SAUVAGE;;;;;;25,24%;;
1- ANTSIRANANA:Ambanja:SALAMA ROSE;R;26;1000;AOUT 2015;39 900,00;10,23%;;
